요리명,조회수,조리방법,재료,인분수,난이도,조리시간,체크할 재료
가지오븐구이,4880,굽기,가지| 모짜렐라치즈| 파슬리가루| 바질페스토| 토마토케첩(또는토마토소스),1인분,초급,10분이내,치즈 가지 
가지오일파스타,39096,볶음,스파게티 면 100g| 가지 1개| 다진 마늘 1스푼| 청양고추 2개  올리브오일 6스푼| 맛술 2스푼| 파스타 삶은 물 1/2컵| 굴 소스 1스푼| 소금 적당량| 후춧가루 적당량,1인분,아무나,30분이내,가지 마늘 파스타 고추 
가지올리브절임,330,삶기,현미국수 200g| 대게백간장 1작은술| 올리브오일 1큰술| 바질페스토 2큰술| 가지바질올리브절임| 바질잎,1인분,중급,30분이내,가지 
가지육회,2320,기타,가지 2개| 참기름 듬뿍 2큰술| 다진마늘 0.5큰술| 소금 0.5큰술| 설탕 4큰술| 연두 1큰술| 노른자 1개,1인분,아무나,30분이내,가지 마늘 
가지전,38613,부침,가지 1개| 애호박 1/2개| 달걀 2개| 밀가루| 식용유 약간씩  간장 2스푼| 고춧가루 1스푼| 다진마늘 0.5스푼| 다진대파 1스푼| 참기름 1스푼| 깨소금 약간| 맛술 1스푼,1인분,아무나,10분이내,달걀 가지 마늘 대파 애호박 
가지조림,464,조림,통깨 1숟가락| 가지 1개| 맛술 1숟가락| 간장 1숟가락| 설탕 1작은숟가락  전분 1숟가락| 물 1숟가락  미지근한 물 100ml| 다시마 1장,1인분,아무나,30분이내,가지 
가지주먹밥,3131,볶음,가지 1개| 애호박 1/4개| 양파 1/2개| 밥 1공기| 올리브유 1 큰술  소금 죽염 1/2 작은술| 후추 1/4 작은술| 참기름 1/2 큰술| 통깨 1 큰술,1인분,아무나,15분이내,가지 양파 애호박 
가지참치피자,225,굽기,가지 100g| 참치캔 1개| 모차렐라치즈 40g| 달걀 1개| 홍고추| 고추 1개| 블랙올리브 5알| 토마토소스 3수저| 올리브유 1/2수저,1인분,초급,30분이내,치즈 달걀 가지 고추 참치캔 
가지치즈구이,464,굽기,가지 1개| 토마토소스 4스푼| 방울토마토 2~3개| 모짜렐라치즈| 소금 약간| 후추 약간| 바질| 옥수수콘| 바질페스토| 새우| 발사믹글레이즈,1인분,아무나,30분이내,치즈 가지 새우 
가지카레,1530,끓이기,가지 1개| 양파 1/2개| 당근 1/2개| 식용유 2Ts| 소금 1꼬집| 후춧가루 1꼬집| 물 300ml| 가레가루 5Ts,1인분,아무나,30분이내,당근 가지 양파 
가지크림파스타,2379,끓이기,가지 1/2개| 양파 1/4개| 마늘 5톨| 새송이버섯 1/2개| 새우 4개| 청양고추 1개| 우유 150ml| 생크림 100ml| 동남아고추 또는 페페론치노 3개| 화이트와인 1스푼| 버터 7g| 큐브 치킨스톡 1/2개| 밀가루 1스푼| 홍합육수 또는 면수 1국자,1인분,초급,30분이내,가지 마늘 새송이버섯 우유 양파 고추 새우 
가지탕수,119614,튀김,가지 1개| 튀김가루| 다진양파 1/4개| 다진마늘 1작은술| 물  케찹 2큰술| 물엿 2큰술| 굴소스 1큰술| 식초 1큰술| 설탕 1큰술,1인분,중급,60분이내,가지 마늘 양파 
가지토마토볶음,967,볶음,가지 1개| 토마토 2개| 다진 마늘 1/2큰술| 소금 조금| 물 50ML,1인분,아무나,15분이내,가지 마늘 
가지토스트,405,볶음,가지 25g| 소고기| 후추 톡톡| 양파 20g| 식용유 약간| 식빵 2장| 마가린 약간| 토마토소스,1인분,초급,30분이내,가지 양파 소고기 빵 
가지튀김,49992,튀김,가지 1개| 밀가루 1큰술| 소금 조금| 달걀 1개| 빵가루 1/2컵| 파슬리가루 조금| 식용유 조금,1인분,초급,30분이내,달걀 가지 
가지튀김덮밥,7410,튀김,돼지고기 300g| 가지 1개반| 양파 1/2개| 마늘 3알| 대파 1대| 튀김가루 200g| 물 300g| 전분 1스푼| 식용유 적당량| 밥 1공기  다진마늘 1TSP| 소금 1tsp| 후추 0.5tsp| 굴소스 1Tbsp| 두반장 2Tbsp| 설탕 1tsp,1인분,중급,60분이내,가지 마늘 대파 양파 돼지고기 
가지튀김소불고기마요덮밥,744,볶음,소고기 500g| 양파 1/2개| 파 5cm| 양배추 1/4개| 가지 1/2개| 당근 1/2개| 달걀 1개| 빵가루 2컵| 밀가루 1컵| 마요네즈 1T  간장 10T| 설탕 4T| 후추 1T| 다진마늘 2T,1인분,초급,60분이내,양배추 당근 달걀 가지 마늘 배추 양파 배 소고기 
가지파스타,46206,볶음,파스타면 1인분| 가지 1개| 양조간장 3T| 미림 2T| 올리고당 2T| 미원 1t| 페퍼론치노 1T| 후추 약간| 소금 약간| 식용유 약간,1인분,아무나,15분이내,가지 파스타 
가지표고버섯된장볶음,1658,볶음,가지 1개| 양파 1/2개| 표고버섯 2개  된장 1T| 진간장 1T| 맛술 2T| 고춧가루 0.5t| 참기름 1T| 마늘가루 1t| 다진파| 통깨,1인분,아무나,10분이내,표고버섯 가지 마늘 양파 
가지피자,19840,굽기,가지 중간것 1개| 양파 1/8개| 양송이 또는 느타리버섯 2개| 방울토마토 2개| 옥수수콘(생략 가능) 1T| 피자치즈 2~3줌  토마토소스 5T| 올리브오일 1T| 소금 약간| 후추 약간,1인분,초급,30분이내,치즈 가지 양파 
가츠동,140687,기타,돈까스 1개| 대파 1/2컵| 양파 1/2개| 달걀 1개| 밥 1공기  쯔유 1/2컵| 물 1/2컵| 식용유 적당량,1인분,초급,10분이내,달걀 대파 양파 
가츠산도,2134,굽기,호밀빵 2장| 돈까스 1장| 돈까스소스 3T| 겨자소스 1/2T,1인분,초급,30분이내,
가츠오부시,2005,볶음,가쓰오부시 20g| 식용유 1Ts| 설탕 1Ts| 물엿 1Ts| 간장 1Ts,1인분,아무나,15분이내,
간단토스트,932,굽기,식빵1장| 모짜렐라치즈1팩| 마요네즈| 원당,1인분,아무나,10분이내,치즈 빵 
간식,17002,굽기,제티 2개| 달걀 1개| 밀가루 (부침가루○) 1+1/2스푼| 설탕 1스푼 적게,1인분,아무나,5분이내,달걀 
간장,1476,기타,양조간장| 진간장| 국간장,1인분,아무나,5분이내,
간장가지덮밥,2243,굽기,가지 2개  쯔유 30ml| 설탕 30g| 물 30g| 통깨 1/2스푼,1인분,초급,15분이내,가지 
간장가지볶음,2568,볶음,가지 1개| 소금 1꼬집| 대파 1/2개| 다진 마늘 1Ts| 식용유 2Ts| 간장 2Ts| 맛술 1Ts| 설탕 1Ts| 참기름 1ts| 통깨 1ts,1인분,아무나,15분이내,가지 마늘 대파 
간장게장덮밥,8956,비빔,간장게장 1마리| 새우장 1개| 달걀노른자 1개| 썬파 1큰술| 참기름 1작은술| 통깨 1작은술| 밥 1+1/2공기,1인분,아무나,10분이내,달걀 새우 
간장게장라면,8048,볶음,간장 게장 3개| 당근 1/4개| 양파 1/4개| 대파 1대| 라면사리 1개,1인분,초급,30분이내,당근 대파 양파 라면 
간장게장비빔밥,8252,비빔,간장 게장 1마리| 밥 1공기| 들기름 1T| 청양고추 1개| 달걀 1개| 참기름 1ts| 깨소금 1ts| 식용유 약간,1인분,초급,30분이내,달걀 고추 
간장달걀국수,22909,비빔,소면 1인분| 대파 5cm| 달걀 노른자 1개  설탕 2큰술| 간장 3큰술| 참기름 1큰술| 다진마늘 1/2큰술| 참깨,1인분,아무나,15분이내,달걀 마늘 대파 
간장달걀면,39560,비빔,소면 100원동전| 달걀 2개  간장 2숟가락| 올리고당 1숟가락| 매실액 1숟가락| 식초 1숟가락| 참기름 1숟가락| 고춧가루 약간| 후추 약간,1인분,아무나,10분이내,달걀 
간장달걀밥,488304,볶음,밥 1공기| 달걀 3개| 식용유 2스푼| 진간장 1스푼| 참기름 1스푼| 깨 약간,1인분,아무나,5분이내,달걀 
간장달걀볶음밥,85225,볶음,밥 1인분| 달걀 2개| 대파(가는것 기준) 1개| 간장밥용 맛간장 1.5-2큰술| 깨소금 약간,1인분,초급,5분이내,달걀 대파 
간장달걀오트밀,3080,기타,달걀 1개| 오트밀 1/2컵| 간장 1T| 참기름 1T,1인분,아무나,5분이내,달걀 
간장고추장아찌,7541,절임,청양고추 적당량| 간장 1컵| 식초 1컵| 설탕 1컵| 물 1컵,1인분,아무나,10분이내,고추 
간장국수,187538,비빔,국수 1인분| 김 가루 약간  간장 1T| 설탕 1T| 참기름 1T  쪽파 1T,1인분,아무나,30분이내,
간장궁중떡볶이,14169,볶음,떡볶이떡 160g| 오이 1/2개| 당근 약간| 표고버섯 3개| 소고기 살치살 70g  다진마늘 1/2큰술| 설탕 1/2큰술| 참기름 1/2큰술| 간장 1큰술| 생강술 1큰술| 후춧가루 약간  간장 1/2큰술| 참기름 1/2큰술  간장 1큰술| 꿀 1/2큰술| 참기름 1큰술,1인분,초급,30분이내,표고버섯 당근 오이 마늘 소고기 떡 
간장기름떡볶이,175199,볶음,떡볶이떡 20개  간장 1T| 꿀 2T| 검정 통깨 1T| 참기름 1/2T| 식용유 1T,1인분,아무나,10분이내,떡 
간장기름밥,2900,비빔,밥 한공기 200~250g| 간장 1수저| 들기름 & 참기름 1수저| 통깨 약간,1인분,아무나,5분이내,
간장달걀밥,111593,기타,밥 1공기| 달걀 1개  간장 1T| 참기름 1/2T  참깨 1/2T| 쪽파 1T,1인분,아무나,5분이내,달걀 
간장달걀볶음밥,2728,볶음,달걀 2알| 간장 1밥수저| 밥 1공기| 참기름| 깨소금,1인분,아무나,5분이내,달걀 
간장닭볶음,7120,볶음,닭 1/2마리| 고구마 1개| 양파 1/2개| 청양고추 1개  간장 3T| 고춧가루 1.5T| 올리고당 1T| 매실 1T| 다진마늘 1/2T| 생강가루 1/2t| 물(종이컵) 1~2컵 사이,1인분,초급,30분이내,닭 마늘 양파 고추 고구마 
간장돼지등갈비,1236,조림,돼지고기 600g| 파 5조각| 월계수잎 4장| 통후추 8알  물 350ml| 물엿 2T| 간장 2T| 맛술 2T| 설탕 2T| 참기름 1/2T| 다진마늘 2T,1인분,초급,15분이내,마늘 돼지고기 
간장돼지불고기,102481,볶음,돼지고기 불고기용 150g| 양파 1/4개| 대파 10cm  간장 2T| 맛술 1T| 올리고당 1T| 다진마늘 0.5T| 참기름 0.5T| 통깨 조금| 후추 조금,1인분,초급,60분이내,마늘 대파 양파 돼지고기 
간장두부덮밥,7587,끓이기,다진돼지고기 100g| 다진마늘 1큰술| 대파 약간| 순두부 1팩| 전분물 걸쭉해지는농도| 밥 1인분| 쪽파 약간  간장 2큰술| 올리고당 1큰술| 후추 약간| 마라소스 1.5~2큰술| 물 1/2컵| 굴소스 1/2큰술,1인분,초급,30분이내,마늘 대파 돼지고기 두부 
간장두부스틱,2654,굽기,부침용두부 1모| 김밥김 1~2장| 튀김가루 1컵| 식용유 적당량| 물 1컵  설탕 1스푼| 맛술 1스푼| 간장 3스푼| 물 3스푼| 참기름 살짝| 통깨 적당량,1인분,초급,60분이내,두부 
간장두부조림,284308,조림,두부 1/2모  간장 1| 굴소스 1티스푼| 올리고당 1큰술| 카놀라유 조금,1인분,아무나,10분이내,두부 
간장떡볶이,30596,볶음,떡볶이 300g| 어묵 50g| 양파 1/4개| 올리고당 적당  돼지고기갈은것 3T| 진간장 6T| 설탕 1T,1인분,아무나,10분이내,양파 돼지고기 떡 
간장마늘치킨,14675,튀김,닭다리 4개| 쪽파 1/2뿌리| 청양고추 1개| 깨 1t| 식용유 1/2T  물 1L| 소금 2T  간장 4T| 꿀 1T| 마늘 2T| 맛술 1T| 설탕 1T| 물 4T,1인분,중급,90분이내,닭 마늘 고추 
간장밥,7878,비빔,밥 1공기| 달걀 2개  간장 2큰술| 참기름 1큰술| 깨소금 약간,1인분,아무나,5분이내,달걀 
간장버섯볶음,6875,볶음,새송이버섯 2개| 양파 1/2개| 어슷썬 파 1숟가락  간장 2T| 참기름 1T| 청양고추 1개| 설탕 1/2T,1인분,초급,5분이내,새송이버섯 양파 고추 
간장버터달걀밥,64560,비빔,밥 1그릇| 버터| 참기름 1작은술| 자반김| 달걀 1개| 식용유| 간장 1큰술,1인분,아무나,15분이내,달걀 
간장버터밥,39077,비빔,달걀 1개| 버터 1T| 간장 0.5T| 참기름 0.5T| 밥 1공기,1인분,아무나,10분이내,달걀 
간장베이컨말이주먹밥,2554,굽기,베이컨 5줄| 밥 1공기  진간장 1t| 올리고당 1t| 설탕 1t| 굴소스 0.5t| 후추 톡톡톡,1인분,아무나,10분이내,베이컨 
간장볶음라면,2856,볶음,라면사리 1개| 양배추 2장| 당근 약간| 베이컨 2줄| 달걀 1개  설탕 0.3큰술| 간장 1큰술| 굴소스 2큰술| 물 3큰술| 후추 약간,1인분,초급,30분이내,베이컨 양배추 당근 달걀 배추 배 라면 
간장볶음밥,2351,볶음,파 1줄| 다진 마늘 1.5스푼| 양파 작은거 하나| 달걀 2개| 햇반 1개  간장 1.5스푼| 소금 적당량| 후추 적당량| 식용유 적당량,1인분,초급,15분이내,달걀 마늘 양파 
간장불고기,36734,볶음,돼지고기 100g 정도| 양파 1/2개| 파 1/2대| 청양고추 1개  간장 3T| 올리고당 2T| 맛술 2T| 후추 1t| 들기름 1T,1인분,초급,15분이내,양파 고추 돼지고기 
간장비빔국수,568479,비빔,소면 2인분(500원 크기 2개)| 간장 5숟갈| 설탕 3숟갈| 고추가루 1/2숟갈| 참기름 2숟갈| 소금 1/2숟갈| 볶은깨 2숟갈,1인분,아무나,5분이내,고추 
간장비빔당면,35101,비빔,불린 당면 180g| 달걀 1개| 사각어묵 1/2장| 대파 5cm| 채썬 김 약간  양조간장 3숟가락| 설탕 2숟가락| 올리고당 1숟가락| 후추 약간| 참기름 1숟가락,1인분,초급,10분이내,달걀 대파 
간장비빔라면,14450,비빔,라면 1봉지| 물  간장 2T| 멸치액젓 1T| 설탕 1T| 다진마늘 1T| 식초 1T| 볶은 깨 넉넉히| 참기름 1T,1인분,아무나,5분이내,마늘 라면 
간장비빔면,13427,비빔,소면 1인분| 간장 2큰술| 설탕 2/3큰술| 참기름 1큰술| 노른자 1개| 깨소금 약간,1인분,아무나,15분이내,
간장비빔밥,13895,비빔,당근| 애호박| 양파| 상추| 달걀후라이| 밥 1공기  참기름 1수저| 간장 2수저| 깨 약간,1인분,아무나,15분이내,당근 달걀 상추 양파 애호박 
간장삼겹라이스,2862,조림,삼겹살| 다시팩| 무| 대파| 양파| 월계수잎| 달걀노른자  간장 3| 설탕 1.5| 청주 1| 월계수잎| 통후추| 다진마늘 1,1인분,초급,60분이내,달걀 마늘 대파 양파 무 
간장새우덮밥도시락,940,기타,간장 새우 10마리| 밥 1공기| 상추 조금| 달걀 1개| 명란젓갈 약간| 고추냉이,1인분,초급,30분이내,달걀 상추 고추 새우 
간장새우밥,8516,비빔,간장새우 7마리| 달걀 1개| 대파 1/3개| 홍고추 1개| 김 1장| 밥 1공기| 깨 1T| 참기름 1T,1인분,아무나,5분이내,달걀 대파 고추 새우 
간장새우볶음밥,1943,볶음,새우 1줌| 양파 1/2개  간장 3T| 맛술 1T| 올리고당 또는 설탕 1T| 식용유 또는 버터 적당량,1인분,아무나,15분이내,양파 새우 
간장새우알밥,820,비빔,간장새우 5마리| 밥| 날치알| 양파 1/2개| 마늘 2알  굴소스 2/3T| 간장새우소스| 통깨| 참기름,1인분,아무나,10분이내,마늘 양파 새우 
간장새우장,1421,기타,간장새우 6마리| 간장새우 간장양념 3~4큰술| 버터 1큰술| 달걀 1개,1인분,아무나,5분이내,달걀 새우 
간장새우장덮밥,8663,기타,간장새우장 3마리| 상추 2장| 깻잎 2장| 양파1/4개| 당근채 1/2줌| 간장새우장 국물 4큰술| 달걀 노른자 1개| 참기름 1큰술| 김가루 약간| 통깨 약간| 밥 1공기 등,1인분,아무나,10분이내,깻잎 당근 달걀 상추 양파 새우 
간장소세지볶음,3450,볶음,소세지 150g~200g  간장 3큰술~4큰술| 식초 1큰술| 올리고당 1큰술| 설탕 1큰술| 물 100ml,1인분,아무나,5분이내,
간장수란밥,7888,비빔,두부 140g| 현미밥 70g| 달걀 1개| 치즈 0.5장| 오징어 초무침 15g| 마른김 1장| 레몬즙 2T  간장 1T,1인분,아무나,10분이내,오징어 치즈 달걀 무 두부 
간장수란파스타,2494,볶음,스파게티면 80g| 양파 1/2개| 마늘 3개| 참치 제일 작은캔 1/2개| 달걀 1개| 들기름 약간| 영양부추 약간| 느타리버섯 8~9줄기  간장 2스푼| 액젓 1/2스푼,1인분,초급,15분이내,부추 달걀 마늘 양파 
간장스파게티,5613,볶음,스파게티 1/2인분| 올리브오일 0.5큰술| 느타리버섯 1줌| 피망 1/4개| 양배추 1줌| 햄 1줌| 다진 마늘 0.5큰술| 식용유 0.5큰술  물 1/2컵| 간장 2큰술| 설탕 0.5큰술| 맛술 1큰술| 전분혹은 녹말가루 2큰술| 참기름 약간,1인분,초급,30분이내,양배추 마늘 배추 배 
간장양념구이,218,볶음,돼지고기 목살 또는 삼겹살 200g| 파 1대  간장 2스푼| 올리고당 2스푼| 다진마늘 1스푼| 참기름 1스푼| 후추 1꼬집,1인분,아무나,15분이내,마늘 돼지고기 
간장양념장,338,기타,청양고추 3개| 파 10cm  간장 3스푼| 국간장 2스푼| 참기름 1스푼| 설탕 1티스푼| 깨 1/2스푼,1인분,아무나,10분이내,고추 
간장연어덮밥,21066,회,밥 1공기| 생연어 1팩| 식초 약간| 간장 1.5숟갈| 무순 적당량| 채 썬 양파 1/4개| 케이퍼 어니언 소스 적당량,1인분,아무나,10분이내,양파 무 
간장연어장,8975,끓이기,양파 1개| 레몬 3~4개| 간장 1비율| 물 1비율| 페페론치노 15개| 설탕 1스푼| 청양고추 2~3개| 마늘 5~10알| 매실액(생략가능) 1스푼| 맛술 1스푼| 청주 1스푼| 연어 1덩이,1인분,중급,60분이내,마늘 양파 고추 
간장연어장덮밥,8568,비빔,밥 1그릇| 연겨자(고추냉이) 1t| 홀스래디쉬 소스 1t(생략가능)| 간장연어장 연어10장 정도| 참기름 2~3방울| 새싹채소(겨자잎) 조금(생략가능),1인분,아무나,10분이내,고추 
간장오징어볶음,12588,볶음,오징어 1/2마리| 양파 1/2개| 파 조금  양조간장 0.8T| 국간장 0.5T| 올리고당 1T| 참기름 1t,1인분,초급,15분이내,오징어 양파 
간장제육볶음,57030,볶음,돼지고기 목살 슬라이스 200g| 대파 1뿌리| 청양고추 1개| 깨 1t| 참기름 1/2T| 식용유 1T  진간장 2T| 굴소스 1T| 설탕 1T| 다진마늘 1T| 맛술 1T| 후추 1/3t,1인분,아무나,15분이내,마늘 대파 고추 돼지고기 
간장조림닭,596,굽기,닭 800g| 마늘 4톨| 청양고추 2개| 간장 5숟가락| 맛술 4숟가락| 물 5숟가락| 올리고당 3숟가락| 흑설탕 1숟가락| 참기름 1숟가락,1인분,아무나,30분이내,닭 마늘 고추 
